Map,Player,ACS,Agent,Date,Result
Ascent,Spring,271,Omen,3/26/2025,Loss
Ascent,Lysoar,171,Deadlock,3/26/2025,Loss
Ascent,Juicy,148,Waylay,3/26/2025,Loss
Ascent,Yuicaw,138,Breach,3/26/2025,Loss
Ascent,SiuFatBB,132,Tejo,3/26/2025,Loss
Ascent,Juicy,260,Waylay,3/26/2025,Loss
Ascent,Spring,217,Omen,3/26/2025,Loss
Ascent,Yuicaw,188,Breach,3/26/2025,Loss
Ascent,SiuFatBB,182,Tejo,3/26/2025,Loss
Ascent,Lysoar,111,Deadlock,3/26/2025,Loss
Icebox,Juicy,234,Reyna,3/26/2025,Loss
Icebox,Spring,210,Viper,3/26/2025,Loss
Icebox,Lysoar,209,Killjoy,3/26/2025,Loss
Icebox,Yuicaw,152,Chamber,3/26/2025,Loss
Icebox,SiuFatBB,138,Sova,3/26/2025,Loss
Ascent,Yuicaw,266,Breach,3/26/2025,Draw
Ascent,Spring,228,Omen,3/26/2025,Draw
Ascent,Lysoar,224,Deadlock,3/26/2025,Draw
Ascent,SiuFatBB,135,Tejo,3/26/2025,Draw
Ascent,Juicy,99,Yoru,3/26/2025,Draw
Fracture,SiuFatBB,279,Tejo,3/27/2025,Win
Fracture,Spring,265,Brimstone,3/27/2025,Win
Fracture,Juicy,223,Raze,3/27/2025,Win
Fracture,Lysoar,221,Cypher,3/27/2025,Win
Fracture,Yuicaw,139,Breach,3/27/2025,Win
Ascent,Lysoar,219,Deadlock,3/27/2025,Loss
Ascent,Spring,191,Omen,3/27/2025,Loss
Ascent,SiuFatBB,178,Tejo,3/27/2025,Loss
Ascent,Juicy,167,Jett,3/27/2025,Loss
Ascent,Yuicaw,142,Breach,3/27/2025,Loss
Ascent,SiuFatBB,242,Tejo,3/27/2025,Loss
Ascent,Juicy,209,Jett,3/27/2025,Loss
Ascent,Spring,204,Omen,3/27/2025,Loss
Ascent,Yuicaw,172,Breach,3/27/2025,Loss
Ascent,Lysoar,124,Deadlock,3/27/2025,Loss
Fracture,Juicy,258,Raze,3/27/2025,Loss
Fracture,Lysoar,244,Cypher,3/27/2025,Loss
Fracture,Spring,205,Brimstone,3/27/2025,Loss
Fracture,SiuFatBB,155,Tejo,3/27/2025,Loss
Fracture,Yuicaw,114,Breach,3/27/2025,Loss
Split,Lysoar,252,Cypher,3/27/2025,Win
Split,Juicy,232,Raze,3/27/2025,Win
Split,Spring,229,Astra,3/27/2025,Win
Split,SiuFatBB,173,Tejo,3/27/2025,Win
Split,Yuicaw,106,Breach,3/27/2025,Win
Icebox,Juicy,306,Jett,04/01/2025,Win
Icebox,Lysoar,266,Killjoy,04/01/2025,Win
Icebox,Spring,225,Viper,04/01/2025,Win
Icebox,SiuFatBB,216,Tejo,04/01/2025,Win
Icebox,Yuicaw,136,Gekko,04/01/2025,Win
Ascent,Lysoar,310,Vyse,04/01/2025,Win
Ascent,Yuicaw,244,Kay/o,04/01/2025,Win
Ascent,Spring,221,Omen,04/01/2025,Win
Ascent,Juicy,216,Waylay,04/01/2025,Win
Ascent,SiuFatBB,145,Tejo,04/01/2025,Win
Icebox,Juicy,212,Jett,04/01/2025,Draw
Icebox,Spring,205,Viper,04/01/2025,Draw
Icebox,Yuicaw,192,Gekko,04/01/2025,Draw
Icebox,SiuFatBB,161,Tejo,04/01/2025,Draw
Icebox,Lysoar,149,Killjoy,04/01/2025,Draw
Lotus,Spring,299,Viper,04/01/2025,Win
Lotus,Juicy,196,Yoru,04/01/2025,Win
Lotus,Lysoar,175,Omen,04/01/2025,Win
Lotus,SiuFatBB,172,Tejo,04/01/2025,Win
Lotus,Yuicaw,159,Breach,04/01/2025,Win
Icebox,SiuFatBB,276,Tejo,04/02/2025,Draw
Icebox,Spring,221,Viper,04/02/2025,Draw
Icebox,Lysoar,182,Killjoy,04/02/2025,Draw
Icebox,Juicy,157,Jett,04/02/2025,Draw
Icebox,Yuicaw,132,Gekko,04/02/2025,Draw
Ascent,Yuicaw,288,Kay/o,04/02/2025,Win
Ascent,Juicy,264,Yoru,04/02/2025,Win
Ascent,Spring,231,Omen,04/02/2025,Win
Ascent,SiuFatBB,202,Tejo,04/02/2025,Win
Ascent,Lysoar,133,Cypher,04/02/2025,Win
Icebox,Juicy,375,Jett,04/02/2025,Win
Icebox,Spring,275,Viper,04/02/2025,Win
Icebox,Lysoar,162,Killjoy,04/02/2025,Win
Icebox,Yuicaw,151,Gekko,04/02/2025,Win
Icebox,SiuFatBB,104,Tejo,04/02/2025,Win
Icebox,Juicy,290,Jett,04/02/2025,Win
Icebox,SiuFatBB,200,Tejo,04/02/2025,Win
Icebox,Spring,191,Viper,04/02/2025,Win
Icebox,Yuicaw,184,Gekko,04/02/2025,Win
Icebox,Lysoar,176,Killjoy,04/02/2025,Win
Fracture,Juicy,299,Raze,04/02/2025,Win
Fracture,Lysoar,263,Cypher,04/02/2025,Win
Fracture,Spring,238,Brimstone,04/02/2025,Win
Fracture,SiuFatBB,142,Tejo,04/02/2025,Win
Fracture,Yuicaw,107,Breach,04/02/2025,Win
Lotus,Spring,244,Viper,04/03/2025,Loss
Lotus,Juicy,203,Yoru,04/03/2025,Loss
Lotus,Lysoar,187,Omen,04/03/2025,Loss
Lotus,Yuicaw,175,Breach,04/03/2025,Loss
Lotus,SiuFatBB,70,Tejo,04/03/2025,Loss
Icebox,Juicy,335,Jett,04/03/2025,Win
Icebox,Spring,332,Viper,04/03/2025,Win
Icebox,SiuFatBB,186,Tejo,04/03/2025,Win
Icebox,Lysoar,152,Killjoy,04/03/2025,Win
Icebox,Yuicaw,134,Gekko,04/03/2025,Win
Ascent,Spring,242,Omen,04/03/2025,Draw
Ascent,Juicy,208,Yoru,04/03/2025,Draw
Ascent,Lysoar,162,Cypher,04/03/2025,Draw
Ascent,Yuicaw,146,Kay/o,04/03/2025,Draw
Ascent,SiuFatBB,141,Tejo,04/03/2025,Draw
Lotus,Spring,313,Viper,04/03/2025,Win
Lotus,Juicy,226,Yoru,04/03/2025,Win
Lotus,Lysoar,220,Omen,04/03/2025,Win
Lotus,Yuicaw,201,Breach,04/03/2025,Win
Lotus,SiuFatBB,162,Tejo,04/03/2025,Win
Haven,Spring,228,Omen,04/03/2025,Loss
Haven,SiuFatBB,169,Tejo,04/03/2025,Loss
Haven,Lysoar,156,Cypher,04/03/2025,Loss
Haven,Juicy,155,Yoru,04/03/2025,Loss
Haven,Yuicaw,139,Breach,04/03/2025,Loss
Icebox,Juicy,301,Jett,04/07/2025,Draw
Icebox,Lysoar,164,Killjoy,04/07/2025,Draw
Icebox,SiuFatBB,158,Tejo,04/07/2025,Draw
Icebox,Spring,145,Viper,04/07/2025,Draw
Icebox,Yuicaw,125,Gekko,04/07/2025,Draw
Pearl,Yuicaw,270,Chamber,04/07/2025,Win
Pearl,Spring,228,Astra,04/07/2025,Win
Pearl,Lysoar,211,Vyse,04/07/2025,Win
Pearl,SiuFatBB,187,Tejo,04/07/2025,Win
Pearl,Juicy,153,Yoru,04/07/2025,Win
Pearl,Yuicaw,366,Chamber,04/07/2025,Win
Pearl,Lysoar,270,Vyse,04/07/2025,Win
Pearl,SiuFatBB,230,Tejo,04/07/2025,Win
Pearl,Juicy,230,Yoru,04/07/2025,Win
Pearl,Spring,160,Astra,04/07/2025,Win
Fracture,Spring,311,Brimstone,04/08/2025,Win
Fracture,Lysoar,245,Cypher,04/08/2025,Win
Fracture,Juicy,243,Neon,04/08/2025,Win
Fracture,Yuicaw,232,Breach,04/08/2025,Win
Fracture,SiuFatBB,134,Tejo,04/08/2025,Win
Fracture,Lysoar,226,Cypher,04/08/2025,Loss
Fracture,Spring,185,Brimstone,04/08/2025,Loss
Fracture,Yuicaw,173,Breach,04/08/2025,Loss
Fracture,SiuFatBB,154,Tejo,04/08/2025,Loss
Fracture,Juicy,151,Neon,04/08/2025,Loss
Haven,Spring,214,Omen,04/08/2025,Loss
Haven,Juicy,186,Jett,04/08/2025,Loss
Haven,Lysoar,161,Cypher,04/08/2025,Loss
Haven,SiuFatBB,161,Tejo,04/08/2025,Loss
Haven,Yuicaw,147,Breach,04/08/2025,Loss
Haven,Spring,285,Omen,04/08/2025,Loss
Haven,Juicy,231,Yoru,04/08/2025,Loss
Haven,Yuicaw,189,Iso,04/08/2025,Loss
Haven,Lysoar,182,Cypher,04/08/2025,Loss
Haven,SiuFatBB,115,Sova,04/08/2025,Loss
Ascent,Spring,236,Omen,04/23/2025,Loss
Ascent,Lysoar,180,Deadlock,04/23/2025,Loss
Ascent,Yuicaw,156,Cypher,04/23/2025,Loss
Ascent,SiuFatBB,140,Sova,04/23/2025,Loss
Ascent,Juicy,139,Yoru,04/23/2025,Loss
Ascent,Lysoar,268,Deadlock,04/24/2025,Win
Ascent,Spring,262,Omen,04/24/2025,Win
Ascent,Juicy,181,Yoru,04/24/2025,Win
Ascent,Yuicaw,177,Cypher,04/24/2025,Win
Ascent,SiuFatBB,126,Sova,04/24/2025,Win
Split,SiuFatBB,228,Tejo,04/24/2025,Win
Split,Spring,228,Viper,04/24/2025,Win
Split,Yuicaw,185,Cypher,04/24/2025,Win
Split,Juicy,182,Raze,04/24/2025,Win
Split,Lysoar,175,Omen,04/24/2025,Win
Split,Juicy,327,Raze,04/24/2025,Win
Split,Yuicaw,253,Cypher,04/24/2025,Win
Split,Spring,192,Viper,04/24/2025,Win
Split,SiuFatBB,147,Tejo,04/24/2025,Win
Split,Lysoar,129,Omen,04/24/2025,Win
Pearl,Yuicaw,385,Chamber,04/25/2025,Win
Pearl,Lysoar,182,Vyse,04/25/2025,Win
Pearl,Spring,177,Astra,04/25/2025,Win
Pearl,SiuFatBB,173,Tejo,04/25/2025,Win
Pearl,Juicy,159,Yoru,04/25/2025,Win
Lotus,Juicy,250,Neon,04/25/2025,Loss
Lotus,Lysoar,250,Omen,04/25/2025,Loss
Lotus,Spring,209,Viper,04/25/2025,Loss
Lotus,Yuicaw,134,Breach,04/25/2025,Loss
Lotus,SiuFatBB,113,Tejo,04/25/2025,Loss
Pearl,Lysoar,325,Vyse,04/25/2025,Loss
Pearl,Spring,236,Astra,04/25/2025,Loss
Pearl,SiuFatBB,208,Tejo,04/25/2025,Loss
Pearl,Juicy,142,Yoru,04/25/2025,Loss
Pearl,Yuicaw,120,Chamber,04/25/2025,Loss
Ascent,Yuicaw,256,Cypher,04/27/2025,Win
Ascent,Spring,256,Omen,04/27/2025,Win
Ascent,Lysoar,230,Deadlock,04/27/2025,Win
Ascent,Juicy,212,Yoru,04/27/2025,Win
Ascent,SiuFatBB,138,Sova,04/27/2025,Win
Haven,SiuFatBB,270,Sova,04/27/2025,Loss
